,image,pred,actual,group,spurious,correct,caption
0,162771.jpg,0,0,0,0,1,actor with a long bob.
1,162772.jpg,0,0,1,1,1,actor attends the premiere of the film.
2,162773.jpg,0,0,0,0,1,"actor is a model , actress and actress."
3,162774.jpg,0,0,1,1,1,actor arrives at the premiere.
4,162775.jpg,0,0,0,0,1,i 'm not a big fan of the hair but i love the eyes.
5,162776.jpg,0,0,0,0,1,actor with a bob hairstyle.
6,162777.jpg,0,0,0,0,1,actor at the premiere of science fiction film.
7,162778.jpg,0,0,1,1,1,actor at the premiere of the film.
8,162779.jpg,0,0,1,1,1,actor - i 'm in love with this man.
9,162780.jpg,1,1,2,0,1,actor with a long bob.
10,162781.jpg,1,1,2,0,1,a model with long straight hair.
11,162782.jpg,0,1,2,0,0,"person , who was the first person to be evicted from the house , said she was shocked by the news."
12,162783.jpg,0,0,1,1,1,actor - i love the hair on this one.
13,162784.jpg,0,0,1,1,1,actor is a man of many talents.
14,162785.jpg,0,0,1,1,1,actor attends the premiere of the film.
15,162786.jpg,0,0,1,1,1,"person , chairman , speaks during a press conference."
16,162787.jpg,1,1,2,0,1,actor with her hair in a bob.
17,162788.jpg,0,0,0,0,1,actor - i love her hair like this.
18,162789.jpg,0,0,1,1,1,actor as person in the tv series.
19,162790.jpg,1,1,2,0,1,actor at the premiere of thriller film.
20,162791.jpg,0,0,1,1,1,football player is unveiled as the new head coach.
21,162792.jpg,0,0,0,0,1,"person , who is a singer , has been performing."
22,162793.jpg,0,0,1,1,1,actor - the man of my dreams.
23,162794.jpg,0,0,0,0,1,actor is a model and actress.
24,162795.jpg,0,0,0,0,1,actor is a model and actress.
25,162796.jpg,1,1,2,0,1,"person , a former contestant , is seen."
26,162797.jpg,0,0,1,1,1,"person , who is the owner of the restaurant , is shown in this undated photo."
27,162798.jpg,0,0,0,0,1,actor at the premiere of romantic comedy film.
28,162799.jpg,1,1,2,0,1,how to get a girl 's attention with short hair.
29,162800.jpg,0,0,0,0,1,"person , who was the first person to be evicted from her home , said she was shocked to learn she was being evicted."
30,162801.jpg,0,0,0,0,1,actor at the premiere of thriller film.
31,162802.jpg,0,0,1,1,1,"actor , the man behind the mask."
32,162803.jpg,0,0,1,1,1,actor attends the premiere of season.
33,162804.jpg,0,0,0,0,1,actor arrives at the premiere.
34,162805.jpg,0,0,0,0,1,actor is a model and actress.
35,162806.jpg,0,0,0,0,1,"person , the former head , speaks during a news conference."
36,162807.jpg,0,0,1,1,1,actor attends the premiere of season.
37,162808.jpg,1,1,2,0,1,hard rock artist with a mohawk.
